Bus No,Start,Destination,Route,Area Section
70D,Ambattur I.E,MadipakkamB.S .,"Collector Nagar, CMBT, Vadapalani, Ashok Nagar, Guindy, Velachery, Ram Nagar",Ambattur IE
D70,Ambattur I.E,Velachery,"Collector Nagar, CMBT, Vadapalani, Ashok nagar, Guindy, Checkpost, Velachery Bypass road",Ambattur IE
M70V,Ambattur I.E,Guindy TVK Estate,"Collector Nagar, Vadapalani",Ambattur IE
M270,Ambattur I.E,Puzhuthivakka m,"Aadambakkam, Guindy, Udhayam, CMBT, Thirumangalam",Ambattur IE
562,Ambattur Estate,Thandalam,"Periyapalayam, Red Hills, Puzhal, Pudur, Ambattur OT",Ambattur IE
563,Ambattur I.E,Periyapalayam,"Ambattur OT, Avadi, Pattabiram",Ambattur IE
570A,Ambattur Estate,Kelambakkam,"CMBT, Vadapalani, Ashok Nagar, Guindy, Check post, Velachery, SRP tools, Perungudi,Sholinganallur, Navalur, Padur",Ambattur IE
7E,Ambattur I.E,Broadway,"Central R.S, Choolai P.O, Doveton, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam, Wavin",Ambattur IE
7H xt,Ambattur I.E,Broadway,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam",Ambattur IE
20E,Ambattur I.E,Ayyapakkam,,Ambattur IE
22A,Ambattur I.E,Thirunamiyur,"Korattur, Lucas, Nathamuni, ICF, Ayanavaram, Kellys, Purasaiwakkam, Egmore, Triplicane,Ka nnagi statue, Santhome, AMS, Adyar",Ambattur IE
34,Ambattur I.E,Thiruvottiyur,"Thirumangalam, Rountana, Chinthamani, Kellys, Purasaiwakkam, Choolai P.O., Regal, V.Nagar, Tondiarpet, Tollgate, Therady",Ambattur IE
47C,Ambattur I.E,Kotturpuram,"Saidpet, T. Nagar, Mahalingapuram, Choolaimedu, Roundtana, Thirumangalam, Wavin",Ambattur IE
62A,Ambattur I.E,Red Hills,Pudur,Ambattur IE
219,Ambattur I.E,Kelambakkam,"Collector Nagar, Thirumangalam, Anna Arch, Choolaimedu, Mahalingapuram, T.Nagar, Saidapet, Madhya Kailash, Tidel Park, Thoraipakkam, Siruseri",Ambattur IE
572,Ambattur I.E,Thiruvallur,"Ambattur OT, Avadi, Pattabiram, Thirunindravur, Veppampattu, Sevapet, Kakallur",Ambattur IE
572K,Ambattur I.E,Kilanur,"Avadi, Pattabiram, Thirunindravur, Veppampattu, Sevapet",Ambattur IE
70L,Ambattur Karukku,CMBT,,Ambattur Karukku
D41,Ambattur O.T.,Thiruvanmiyur,"Korattur, Lucas,Thirumangalam, Amijikarai, KMC, Chetpet,Sterling road, Gemini,Teynampet,Nandanam, Adyar Gate, Mandaveli, AMS, Adyar",Ambattur OT
170K,Ambattur O.T,Guduvanchery,"V.Z00, Tambaram, Pallavaram, Guindy, Udhayam, Vadapalani, CMBT, Anna Nagar, Padi, Ambattur I.E",Ambattur OT
47D,Ambathur O.T.,Thiruvanmiyur,"Adyar, T. Nagar, Sterling Road, Ambattur I.E",Ambattur OT
71,Ambattur OT,Broadway,"Central R.S, Taylors Road, New Avadi road, Nadhamuni, Padi, Ambattur IE",Ambattur OT
147C,Ambattur O.T.,T.Nagar,"Collector Nagar, Blue Star, Anna Hospital, Loyalla College, Sterling Road, Valluvar Kottam",Ambattur OT
253,Aminjikarai,Vellavedu,"NSK, Mathuravoyal, Vellapanchavadi, Kumananchavadi, Poonamallee, Thirumazhisai",Aminjikkarai
60,Anakaputh ur,Broadway,"Pammal, Pallavaram, Guindy, Little Mount, Saidapet, Teynampet, DMS, TVS, Simpson, Central R.S",Anakaputtur
60C,Anakaputh ur,Broadway,"Pammal, Pallavaram, Guindy, Little Mount, Saidapet, Teynampet, DMS, TVS, Simpson, Central R.S",Anakaputtur
M70 xt,Anna Nagar West,Thiruvanmiyur,"Thirumangalam, CMBT, Vadapalani, Ashok nagar, Guindy, Checkpost, Velacherry, Taramani, SRP tools, Jayanthi",Anna Nagar West
15,Anna NagarWest,Broadway,,Anna Nagar West
15A,Anna Nagar West,Broadway,Kilpauk,Anna Nagar West
15D,Anna Nagar West,Broadway,"Dasaprakash, Anna Hospital, 14 Shops",Anna Nagar West
23M extn,Anna Nagar West,Thiruvanmiyur,"Adyar, Gandhi mandapam, Little mount, Saidapet, T.Nagar, Panagal park, Liberty, Power house, Vadapalani, MMDA Colony, CMBT, Thirumangalam",Anna Nagar West
24A,Anna Nagar West,V House,"Shanthi Colony, K4 Police station, Chinthamani, Aminijikarai, Chetpet, Gemini, Royapetah",Anna Nagar West
27C cut,Anna nagar West,T. Nagar,"Panagal park, Bharathinagar, Liberty, Power house, Vadapalani, MMDA Colony, CMBT, Thirumangalam",Anna Nagar West
41C,Anna Nagar West,Thiruvanmiyur,"Adyar Depot, Adyar, AMS, Mandaveli, Mylapore, Luz, Alwarpet, DMS, Gemini, Sterling Road, Chetpet, KMC, Amijikarai, Rountana, Thirumangalam",Anna Nagar West
2A,Anna Square,M.K.B Nagar,"Vyasarpadi, Basin Bridge, Regal, Elephant gate, Central R.S, P R & sons, Walaja Road, Bells Road",Anna Square
2A xt,Anna Square,Kaviarasu Kannadasan Nagar,M.K.B Nagar,Anna Square
C2,Anna Square,Anna Square,"Secretariat, Parrys, Beach Road, Stanley Hospital, Vallalar Nagar, Regal, Central, Pallavan Road, Wallajah road, Chepauk, Triplicane, Ezhilagam",Anna Square
12G,Anna Square,K K Nagar,"MGR Nagar, Ashok Pillar, West Mambalam, Alwarpet, Luz",Anna Square
