Bus No,Start,Destination,Route,Area Section
61D,Broadway,Kadavoor,"Central R.S, Purasaiwakkam, Ayanavaram, Nadhamuni, Padi, Amabattur IE, Avadi, HVF Hospital, Kovilpadagai, Veerapuram",Broadway
61D xt,Broadway,Kilkondaiyar,"Avadi, Kadavoor",Broadway
61E,Broadway,Kilkondaiyar,"Ambattur IE, Avadi, HVF Hospital, Kovilpadagai, Vellanur, Veerapuram, Arakkambakkam",Broadway
M64B,Broadway,Minjur,"Napalayam, Manali New Town, MFL, CPCL, Manali, Madhavaram Milk colony, Moolakadai, Perambur market, Pulianthope, Doveton, Central R.S",Broadway
M64D,Broadway,Kosappur,"Madhavaram Milk colony, Thapal petti, Moolakadai, Vyasarpadi, Pulianthope, Doveton, Central R.S",Broadway
71,Broadway,Ambattur OT,"Central R.S, Taylors Road, New Avadi road, Nadhamuni, Padi, Ambattur IE",Broadway
71D,Broadway,Pudur,"Central R.S, Nadhamuni, Padi, Ambattur IE, Ambattur OT",Broadway
71F,Broadway,Senthil Nagar,"Central R.S, Nadhamuni, Ambattur IE, Ambattur OT",Broadway
71H,Broadway,Avadi Kamaraj Nagar,"Central R.S, New Avadi road, Nadhamuni, Ambattur IE, Ambattur OT, Avadi",Broadway
71V,Broadway,Veppampattu,"Central R.S, Nadhamuni, Ambattur I.E, Ambattur OT, Avadi, Thirunindravur",Broadway
M116,Broadway,Kaviarasu Kannadhasan Nagar,"SIDCO, MKB Nagar, Sathyamoorthy Nagar, Basin Bridge, Mint, Stanley, Beach R.S",Broadway
M116A,Broadway,Muthamil Nagar (Kodungaiyur),"SIDCO, MKB Nagar, Sathyamoorthy Nagar, Basin Bridge, Mint, Stanley, Beach R.S",Broadway
M116L,Broadway,Parvathi Nagar (Kodungaiyur),"Muthamil Nagar, SIDCO, MKB Nagar, Sathyamoorthy Nagar, Basin Bridge, Mint, Stanley, Beach R.S",Broadway
120,Broadway,Avadi,"Central R.S, Purasaiwakkam, Sayani, ICF, Padi, Ambattur OT",Broadway
120C,Broadway,Thirumullaivoy al colony,"Central R.S, Purasaiwakkam, Sayani, ICF, Padi, Ambattur OT",Broadway
142B,Broadway,Peravallur Kumaran Nagar,,Broadway
142P,Broadway,Puthagaram,,Broadway
153,Broadway,Thirumazhisai,"Central R.S, KMC, Madhuravoyal, Poonamallee",Broadway
164C,Broadway,Manali,,Broadway
502,Broadway,Sriperumbudur,"Central R.S, LIC, Saidapet, Guindy, Porur, Kumananchavadi, Poonamallee, Irrungattukottai",Broadway
527,Broadway,Thathamanji,"V.Nagar, Tondiarpet, Thiruvottriyur, Sathyamoorthy nagar, Minjur, Kadapakkam",Broadway
557,Broadway,Gummidipoond i,"Beach R.S, Mint, Vyasarpadi, Moolakadai, Red Hills, Thachur Koot Road, Puduvayal, Kavarapettai",Broadway
587,Broadway,Thirupporur,"Marina,Thiruvamiyur,ECR,Kelambakka m",Broadway
593,Broadway,Thandalam,"Beach R.S,Stanley, Mint,Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red Hills, Karanodai, Periyapalayam",Broadway
521,"Broadway, Chennai",Thirupporur,"Marina,Thiruvanmiyur,Perungudi,Sholi nganallur,Kelambakkam",Broadway
10E,Broadway,Ekkaduthangal,"Central R.S, Egmore R.S, Maternity Hospital, DPI, Sterling road, Valluvar Kottam, Panagal park, T.Nagar, Srinivasa Theater, Mettupalayam, Ashok Nagar, Jaffarkhanpet",Broadway
M21T,Broadway,Kannagi Nagar,"Santhome, Adyar, Perungudi",Broadway
35,Broadway,Ayanavaram,"Sayani, Kellys, Purasaiwakkam, Choolai P.O, Central R.S",Broadway
38H,Broadway,Madhavaram,"Thapal Petti, Moolakadai, Sharma nagar, Vyasarpadi, Basin Bridge, Mint, Stanley, Beach R.S",Broadway
51D,Broadway,Tambaram East,"Convent, Camp road, Rajakilpakkam, Kozhipannai, Madambakkam, Jothi Nagar, Noothencherry, Vengaivasal, Santhosapuram, Medavakkam Koot road, Medavakkam, Pallikaranai, Velacherry, Saidapet, DMS, TVS, LIC, Central",Broadway
H51,Broadway,Tambaram East,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Luz, Mylapore, Mandaveli BS, AMS, Adyar Depot, SRP tools, Taramani, Velachery, Pallikaranai, Medavakkam, Santhosapuram, Kamarajapuram, Camp road, Convent",Broadway
52,Broadway,Pozhichalur,"Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS",Broadway
52D,Broadway,Chitlapakkam,"Varadharaja Theater, Chromepet,Pallavaram, Guind y, Saidapet, DMS, TVS, LIC, Central RS",Broadway
53P,Broadway,Pattur,"Mangadu, Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S",Broadway
54,Broadway,Poonamallee,"Kumananchavadi, Porur, Guindy, DMS, TVS, LIC, Central R.S",Broadway
54G,Broadway,Kuthambakkam,"Vellavedu, Thirumazhisai, Poonamallee, Porur, Guindy, DMS, TVS, LIC, Central R.S",Broadway
60C,Broadway,Anakaputhur,"Pammal, Pallavaram, Guindy, Little Mount, Saidapet, Teynampet, DMS, TVS, Simpson, Central R.S",Broadway
155A,Broadway,Thirumudivakk am,"Thiruneermalai, Nagakeni, Pallavaram, Guindy, Saidape t, DMS, LIC, Central R.S",Broadway
242,Broadway,Red Hills,"Central R.S, Vepery, Doveton, Perambur, Kolathur, Puzhal",Broadway
242xt,Broadway,Padiyanallur,"Perambur, Central R.S",Broadway
553,Broadway,Sriperumbudur,"Central R.S, KMC, Kumananchavadi, Poonamallee, Irrungattukottai",Broadway
571,Broadway,Thiruvallur,"Central R.S, Taylors Road, Nadhamuni, Padi, Ambattur IE, Avadi, Thirunindravur, Vepampattu, Sevapet, Kakallur",Broadway
579,Broadway,Padappai,"Karasangal, Mudichur, Tambaram, Pallavaram, Guindy, Saidapet, LIC",Broadway
588B,Broadway,Mamallapuram,"Marina Beach, Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",Broadway
M500,Chengalpat tu,Tambaram,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Perugalathur",Chengalpet
500,Chengalpat tu,T. Nagar,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy,",Chengalpet
500A,Chengalpat tu,Hasthinapuram,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Tambaram Sanatorium, Nehru nagar(Chromepet), Kumaran Kundram",Chengalpet
500C,Chengalpat tu,CMBT,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Saidapet",Chengalpet
500J,Chengalpat tu,Velachery,"Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road, Tambaram East, Tambaram West, Vandalur Zoo",Chengalpet
500V,Chengalpat tu,Velachery,"Guindy, Pallvaram, Tambaram West, Vandalur Zoo",Chengalpet
577,Chengalpat tu,Mandaveli,"Singaperumal Koil, Maraimalai Nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Adyar, AMS",Chengalpet
52D,Chitlapakka m,Broadway,"Varadharaja Theater, Chromepet,Pallavaram, Guind y, Saidapet, DMS, TVS, LIC, Central RS",Chitlapakkam
27B,CMBT,Anna Square,"Koyambedu, Arumbakkam, NSK nagar,Amijikarai, KMC, Chetpet, MMC School, Egmore RS, Chindatripet, Zimson, Triplicane, Kannaki Statue",CMBT
46,CMBT,TVK Nagar,"Perambur, Ayanavaram, ICF, Anna Nagar East, Arumbakkam",CMBT
46B,CMBT,Periyar Nagar,"Perambur, Ayanavaram, ICF, Anna Nagar East, Arumbakkam",CMBT
46C,CMBT,Parvathy Nagar (Kodungaiyur),"Moolakadai, Perambur, Ayanavaram, ICF, Anna Nagar East, Arumbakkam",CMBT
46G,CMBT,MKB Nagar East,"Vyasarpadi, Ayanavaram, ICF, Anna Nagar East, Arumbakkam",CMBT
48C,CMBT,Vallalar Nagar,"Thirumangalam, Anna Nagar West, Nadhamuni, ICF, Railway Quarters, Joint Office, Sayani, Otterri, Basin Bridge",CMBT
PP49,CMBT,Kovalam,"MMDA Colony, Vadapalani, Liberty, T.Nagar, Saidapet, Adyar, Thiruvanmiyur, Kottivakkam, Palavakkam, Injambakkam, Kanathur, Muttukadu",CMBT
L51,CMBT,Ottiambakkam,"Arasan Kazhani, Sithalapakkam, Medavakkam, Pallikaranai, Velacherry, Checkpost, Guindy, Ashok Pillar, Vadapalani, MMDA Colony",CMBT
53K,CMBT,Meppur,"Mathruvayoil, Kumananchavadi, Poonamallee,",CMBT
61B,CMBT,Arakkambakka m,"Thirumangalam, Collector Nagar, Ambattur IE, Avadi, HVF Hospital, Kovilpadagai, Vellanur, Veerapuram",CMBT
70S,CMBT,Kannagi Nagar,"Velachery, SRP Tools",CMBT
M70,CMBT,Thiruvanmiyur,"Vadapalani, Ashok nagar, Guindy, Checkpost, Velacherry, Taramani, SRP tools, Jayanthi",CMBT
M70A,CMBT,Avadi,"Ambattur O.T, Collector Nagar",CMBT
121A,CMBT,Manali,"Madhavaram Milk Colony, Thapal petti, Moolakadai, Retteri, Lucas, Thirumangalam",CMBT
121B,CMBT,Minjur,"Napalayam, MFL, CPCL, Manali, Madhavaram Milk Colony, Thapal petti, Moolakadai, Retteri, Lucas, Thirumangalam",CMBT
121C,CMBT,Ennore,"Ernavoor gate, MFL, CPCL, Manali, Madhavaram Milk Colony, Thapal petti, Moolakadai, Retteri, Lucas, Thirumangalam",CMBT
121D,CMBT,Manali New Town,"MFL, CPCL, Manali, Madhavaram Milk Colony, Thapal petti, Moolakadai, Retteri, Lucas, Thirumangalam",CMBT
121G,CMBT,Kaviarasu Kannadasan Nagar,"Moolakadai, Retteri, Lucas, Thirumangalam",CMBT
159D,CMBT,I.O.C,"Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",CMBT
159E,CMBT,Ennore,"Ashok Leyland, Ernavoor Gate, Thiruvottriyur, Therady, Tollgate, Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",CMBT
170J,CMBT,Guindy,"West Saidapet , Udhayam, Vadapalani, MMDA Colony",CMBT
170R,CMBT,Andarkuppam,"Thirumangalam, Madhavaram, Kosappur",CMBT
270J,CMBT,Mathur,"Thirumangalam, Madhavaram",CMBT
558L,CMBT,Minjur,"Redhills, Karanodai, Ponneri",CMBT
568C,CMBT,Mamallapuram,Rajiv Gandhi Salai,CMBT
568T,CMBT,Thalambur,"Guindy, SRP Tools, Sholinganallur, Navalur",CMBT
570,CMBT,Kelambakkam,"Vadapalani, Ashok Nagar, Guindy, Check post, Velachery, SRP tools, Perungudi, Sholinganallur, Navalur, Padur",CMBT
570S,CMBT,SiruseriSIPCOT,"Vadapalani, Ashok Nagar, Guindy, Check post, Velachery, SRP tools, Perungudi, Sholinganallur, Navalur",CMBT
596,CMBT,Thiruvallur,"Koyambedu, Nerkundram, Madhuravoyal, Kumanan chavadi, Poonamallee, Thirumazhisai, Vellavedu, Nemam, Pudhuchatiram, Mettukandigai, Arnavoyal kuppam, Arnavoyal, Murkancherry, Manavalan Nagar",CMBT
596A,CMBT,Thiruvallur - Pandur,"Koyambedu, Nerkundram, Madhuravoyal, Kumanan chavadi, Poonamallee, Thirumazhisai, Vellavedu, Nemam, Pudhuchatiram, Mettukandigai, Arnavoyal kuppam, Arnavoyal, Murkancherry, Manavalan Nagar, Thiruvallur",CMBT
15B,CMBT,Broadway,"Amijikarai, KMC, Dasaprakash, Central R.S",CMBT
17A,CMBT,Broadway,"Koyambedu Market, Virugambakkam, Vadapalani, Gemini",CMBT
20J,CMBT,Ayyapakkam,,CMBT
23M,CMBT,Thiruvanmiyur,"Jayanthi, Adyar, Gandhi mandapam, Little mount, Saidapet, T.Nagar, Panagal park, Liberty, Power house, Vadapalani, MMDA Colony",CMBT
23M cut,CMBT,Besant nagar,"Adyar, Gandhi mandapam, Little mount, Saidapet, T.Nagar, Panagal park, Liberty, Power house, Vadapalani, MMDA Colony",CMBT
M27,CMBT,T. Nagar,"Panagal park, Bharathinagar, Liberty, Power house, Vadapalani, Virugambakkam, Chinmaya nagar, Koyambedu Market",CMBT
41F,CMBT,Mandaveli,"Luz, Gemini, Valluvar Kottam, Loyola College, Choolaimedu, Anna Arch",CMBT
51L,CMBT,Tambaram East,"Vadapalani, Guindy, Velachery, Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road",CMBT
53S,CMBT,Pattabiram,"Thiruverkadu, Sundaransozhapuram, Mettupalayam,Thandarai",CMBT
70K,CMBT,Kilkattalai,"Velachery, Guindy, Ashok Pillar, Vadapalani",CMBT
70L,CMBT,Ambattur Karukku,,CMBT
H70,CMBT,Menambedu,Ambattur OT,CMBT
159A,CMBT,Thiruvotriyur,"Tollgate, Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",CMBT
159B,CMBT,Tollgate,"Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",CMBT
170S,CMBT,MKB Nagar East,"Sarma Nagar, Moolakadai, Retteri, Thirumangalam, DMDK Office",CMBT
J170,CMBT,Guindy,"Ashok pillar, K.K.Nagar BS, MGR nagar, Nesapakkam, West K.K.nagar, Avichi School, Virugambakkam, Chinmaya Nagar, Koyambedu Market",CMBT
500C,CMBT,Chengalpattu,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Saidapet",CMBT
510,CMBT,Padappai,"Karasangal, Mudichur, Tambaram, Pallavaram, Ashok Pillar",CMBT
514,CMBT,Periyapalayam,"Lucas, Puzhal, Red Hills, Karanodai,Janappan chathram x road, Bandikavanoor,Kannigaipair",CMBT
533,CMBT,Arani,,CMBT
553A,CMBT,Sriperumbudur,"Mathruvayoil, Kumananchavadi, Poonamallee, Irrungattukottai",CMBT
588C,CMBT,Mamallapuram,"Vadapalani, Ashok Nagar, Guindy, Adyar, Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",CMBT
21F,Egmore,Kannagi nagar,,Egmore
40A xt,Egmore,Veppampattu,"KMC, Aminijikarai, Chinthamani, Blue Star, Collector Nagar, Ambattur OT, Avadi, Pattabiram, Thirunindravur",Egmore
28,Egmore R.S,Thiruvotriyur,"Tollgate,Tondiarpet,Vallalarnagar,Regal , Central RS, Chindatripet",Egmore Railway Station
28A,Egmore R.S,Manali,"Andankuppam, Thiruvottriyur, Tollgate, Tondiarpet, Vallalarnagar, Regal, Central RS",Egmore Railway Station
28B,Egmore R.S,Ennore,"Ernavoor, Thiruvottriyur, Tollgate, Tondiarpet, Vallalarnagar, Regal, Central RS, Chindatripet",Egmore Railway Station
10E,Ekkadutha ngal,Broadway,"Central R.S, Egmore R.S, Maternity Hospital, DPI, Sterling road, Valluvar Kottam, Panagal park, T.Nagar, Srinivasa Theater, Mettupalayam, Ashok Nagar, Jaffarkhanpet",Ekkaduthangal
88E,Ekkadttuth angal,Kundrathur,"Koovoor, Periyapannicherry, Baikadai, Porur, Guindy",Ekkaduthangal
K18 cut,Ekkadutha ngal,Broadway,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, Saidapet, Guindy,CIPET",Ekkaduthangal
M21G xt,Ekkadutha ngal,Broadway,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university, Guindy",Ekkaduthangal
154E,Ekkadutha ngal,Vellavedu,"Poonamallee, Kumananchavadi, Porur, Guindy",Ekkaduthangal
M70D,Elango Nagar (Collector Nagar),Guindy,"Thirumangalam, CMBT, Vadapalani, Ashok Pillar",Elango Nagar (Collector Nagar)
27E,Elango nagar officer colony,Anna Square,"Collector nagar, Thirumangalam, Rountana, Amijikarai, KMC, Egmore RS, Zimson, Triplicane, Kannaki Statue",Elango Nagar (Collector Nagar)
1E,Ennore,Tambaram,"Chromepet, Pallavaram, Guindy, Teynampet, D.M.S, L.I.C, Central R.S, Parry's Corner, Kalmandapam, Tollgate, Thiruvottiyur",Ennore
1D,Ennore,Thiruvanmiyur,"Adyar, Mylapore, Royapettah, Parry's Corner, Kalmandapam, Thalankuppam",Ennore
28B,Ennore,Egmore R.S,"Ernavoor, Thiruvottriyur, Tollgate, Tondiarpet, Vallalarnagar, Regal, Central RS, Chindatripet",Ennore
48B,Ennore,Thiru.Vi.Ka Nagar,"Venus, Perambur, Moolakadai, Madhavaram, Mathur Koot road, Manali Koot road, Sathyamoorthy nagar, Ernavoor, Ashok Leyeland",Ennore
56 xt,Ennore,Broadway,"V.Nagar, Tondiarpet, Thiruvottriyur, Ernavoor, Ashok Leyland",Ennore
56A,Ennore,V Nagar,,Ennore
56N,Ennore,Broadway,,Ennore
121C,Ennore,CMBT,"Ernavoor gate, MFL, CPCL, Manali, Madhavaram Milk Colony, Thapal petti, Moolakadai, Retteri, Lucas, Thirumangalam",Ennore
157E,Ennore,Red Hills,"Puzhal, Moolakadai,Sharma Nagar, M.K.B Nagar, Korukkupettai, Tondaripet, Tollgate, Theradi, Thiruvottiyur",Ennore
159E,Ennore,CMBT,"Ashok Leyland, Ernavoor Gate, Thiruvottriyur, Therady, Tollgate, Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",Ennore
12B xt,Foreshore Estate,Koyambedu Ma rket,"CMBT, MMDA Colony, Vadapalani, Kodambakkam, Pondy Bazaar, Alwarpet, Luz, Santhome",Foreshore Estate
12B xt,Foreshore Estate,Iyyapanthangal,"Porur, Virugambakkam, Vadapalani, Liberty, Pondy Bazaar, Alwarpet, Luz, Santhome",Foreshore Estate
27D,Foreshore Estate,Villivakkam,"Santhome, AIR, V.M.Street, Stella Maris College, Thousand Lights, LIC, Pudhupet, Maternity Hospital, Egmore RS, Dasaprakash, Purasaiwakkam, Kellys, Ayanavaram, ICF",Foreshore Estate
12A,Foreshore Estate,T. Nagar,"Pondy bazaar,Alwarpet, Luz, Santhome",Foreshore Estate
M12A,Foreshore Estate,T. Nagar,"Pondy bazaar,Alwarpet, Luz, Santhome",Foreshore Estate
32A,Foreshore Estate,Tollgate,"Maharani, Tondiarpet, Vallalar nagar, Broadway, Central R.S., Triplicane, V.House, AIR, Santhome",Foreshore Estate
55B,Guduvanch erry,Pazhanthandala m,"Oorapakkam, Vandalur Zoo, Perugalathur, Tambaram,Kannadapalayam",Guduvancherry
E18,Guduvanch ery,High Court,"LIC, TVS, Saidapet, Guindy, Pallavaram, Tambaram, Vandalur Zoo",Guduvancherry
G18,Guduvanch ery,T.Nagar,"Saidapet, Guindy, Pallavaram, Chromepet, Tambaram, Vandalur Zoo",Guduvancherry
M18,Guduvanch ery,Tambaram,Vandalur Zoo/Arignar Anna Zoological Park,Guduvancherry
M18N,Guduvanch ery,Nanganallur,"Pazhavanthangal, Pallavaram, Chromepet, Tambaram, Vandalur Zoo, Oorapakkam",Guduvancherry
T51S,Guduvanch ery,Okkiam Thoraippakkam,"Vandalur, Tambaram East, Camp Road, Medavakkam, Sholinganallur",Guduvancherry
555G,Guduvanch ery,Kelambakkam,"Urapakkam, Vandalur, Mambakkam",Guduvancherry
21J,Guduvanch ery,Velachery,"Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road, Poondi Bazar, Tambaram Sanatorium, Tambaram West, Vandalur",Guduvancherry
V21,Guduvanch ery,Thiruvanmiyur,"SRP, Taramani, Velachery, Kamatchi Hospital, Chromepet, Tambaram",Guduvancherry
PP21,Guduvanch ery,Broadway,"Secretariat, Chepauk, Q.M.C, Fore Shore Estate, Adyar Bus Stand, Guindy,Pallavaram, Chromepet, Tambaram, Vandalur Zoo",Guduvancherry
M52,Guduvanch ery,Pozhichalur,"Pallavaram,Chromepet,Tambaram, Perungalathur, Vandalor Zoo",Guduvancherry
70V,Guduvanch ery,Koyambedu,"Vadapalani, Pallavaram, Tambaram",Guduvancherry
G70,Guduvanch ery,Vadapalani,"Udhayam Theater, Pallavaram, Tambaram, Vandalur Zoo",Guduvancherry
118P,Guduvanch ery,Puzhuthivakka m,"Aadambakkam, Guindy,Pallavaram, Tambaram, Zoo",Guduvancherry
170K,Guduvanch ery,Ambattur O.T,"V.Z00, Tambaram, Pallavaram, Guindy, Udhayam, Vadapalani, CMBT, Anna Nagar, Padi, Ambattur I.E",Guduvancherry
119G,Guindy,Kelambakkam,"Velachery, Navalur",Guindy
J170,Guindy,CMBT,"Ashok pillar, K.K.Nagar BS, MGR nagar, Nesapakkam, West K.K.nagar, Avichi School, Virugambakkam, Chinmaya Nagar, Koyambedu Market",Guindy
18,Guindy,Broadway,"Central R.S, Zimson, Shanthi Theater, LIC, TVS, Thousand Lights, DMS, Vanavil, SIET, Defence Accounts office, Nandanam, Saidapet",Guindy
18F,Guindy,Broadway,"Central R.S, Simpson, LIC, TVS, DMS, Nandanam, CIT Nagar, Srinivasa, Mettupalayam, Saidapet West",Guindy
M21G,Guindy,Broadway,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university,",Guindy
45B,Guindy,Anna Square,"Saidapet, Nandanam, Teynampet, Alwarpet, Luz, Chennai Citi Centre",Guindy
45G,Guindy,Anna square,"Marina Beach, Chennai Citi Centre, Mylapore, Mandaveli, Adyar G ate, Nandanam, CIT Nagar, Srinivasa, Mettupalayam, Saidapet West",Guindy
M70D,Guindy,Elango Nagar (Collector Nagar),"Thirumangalam, CMBT, Vadapalani, Ashok Pillar",Guindy
M119,Guindy,Semmencheri,"Velachery,SRP,Perungudi",Guindy
M119B,Guindy,Semmencheri,"Saidapet,GandhiMandapam, Adyar,Thi ruvanmiyur",Guindy
B70,Guindy Estate,Pattabiram,"Avadi, Ambattur OT, Padi, CMBT, Vadapalani, Udhayam, CIPET",Guindy Estate
C70,Guindy Estate,Red Hills,"Ashok nagar, Vadapalani, CMBT, Thirumangalam, Anna nagar west, Padi, Thathankuppam, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam",Guindy Estate
C70xt,Guindy Estate,Padiyanallur,"Ashok nagar, Vadapalani, CMBT, Thirumangalam, Anna nagar west, Padi, Thathankuppam, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam, Red Hills",Guindy Estate
170C,Guindy Estate,TVK Nagar,"Kolathur, Retteri, Thirumangalam, CMBT, Vadapalani, Ashok Pillar",Guindy Estate
170C xt,Guindy Estate,Manali,"Madhavaram Milk colony, Thapal petti, Moolakadai, TVK Nagar, Retteri, Thirumangalam, CMBT, Vadapalani",Guindy Estate
F70,Guindy TV K Estate,Pattabiram,"Avadi, Ambattur I.E, Lucas, Anna Nagar West, Koyambedu market, CMBT, Vadapalani, West Saidapet",Guindy Estate
J70,Guindy I.E,Mogappair West,"Collector Nagar, CMBT, Vadapalani, Udhayam Theater",Guindy Estate
M70V,Guindy TVK Estate,Ambattur I.E,"Collector Nagar, Vadapalani",Guindy Estate
170D,Guindy Estate,Kannadasan Nagar,"Moolakadai, Retteri, Thirumangalam, CMBT, Vadapalani,Ashok Pillar, Ekkattuthangal",Guindy Estate
52B,Hasthinapu ram,Highcourt,"Chromepet,Pallavaram, Guindy, Saidap et, DMS, TVS, LIC, Central RS",Hasthinapuram
52C,Hasthinapu ram,T.Nagar,"Chromepet,Pallavaram, Guindy, Saidap et",Hasthinapuram
66A,Hasthinapu ram,Kundrathur,"Anakaputhur, Pammal, Pallavaram, Chromepet",Hasthinapuram
152B,Hasthinapu ram,High Court,"Chromepet, Pallavaram, Guindy, Adayar B.S, Mandaveli, Mylapore, LUZ, QMC, V.House, Secretariat",Hasthinapuram
M18G,Hasthinapu ram,Guduvanchery,"Chromepet, Tambaram, Vandalur Zoo",Hasthinapuram
500A,Hasthinapu ram,Chengalpattu,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Tambaram Sanatorium, Nehru nagar(Chromepet), Kumaran Kundram",Hasthinapuram
3A,High Court,Mandaveli,"Mylapore, Luz, Alwarpet, Royapetah, L.I.C, Central",High Court
8B,High Court,T.V.K Nagar,"Parrys, V.Nagar, Puliantope, Pattalam, Jamalaya, Venus",High Court
11G,High Court,K K Nagar,"MGR Nagar, Ashok Pillar,Pangal Park, Annasalai, Central R.S, Parry's Corner",High Court
11H,High Court,Iyyapanthangal,"Virugambakkam, K.K.Nagar, Pondy Bazaar, Anna Salai, Marina Beach",High Court
M12,High Court,Kilkattalai,"Gopalapuram, Teynampet, Velachery",High Court
51P,High Court,Puzhudivakkam BS,Gunidy Race Course,High Court
D51,High Court,Medavakkam koot road,"Medavakkam, Pallikkaranai, Velachery, Guindy Race Course, DMS, LIC, Central R.S",High Court
D51 xt,High Court,SithalapakkamT NHB Colony,"Sithalapakkam Koot road, Medavakkam, Pallikkaranai, Velachery, Guindy Race Course, DMS, LIC, Central R.S",High Court
E51,High Court,Ottiambakkam,"Arasan kazhani, Sithalapakkam, Sithalapakkam Koot road, Medavakkam, Pallikkaranai, Velachery,Guindy Race Course, DMS, LIC, Central R.S",High Court
PP51,High Court,Tambaram East,"Selaiyur, Camp Road, Medavakkam, Pallikaranai, Velachery, Anna University, Adyar, Sathyastudio, MRC Nagar, Foreshore Estate, Santhome, AIR, Anna Square",High Court
PP51 cut,High Court,Padhuvancherry,"Camp Road, Medavakkam, Pallikaranai, Velachery, Anna University, Adyar, Sathyastudio, MRC Nagar, Foreshore Estate, Santhome, AIR, Anna Square",High Court
52E,High Court,Nemilicheri,"Chromepet, Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS",High Court
52G,High Court,Cowl Bazaar,"Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS",High Court
52K,High Court,Keelkattalai,"Nanganallur, Aasargana, Guindy,Anna Salai",High Court
52L,High Court,Nanganallur,"Aasargana, Guindy,Anna Salai",High Court
54L,High Court,Vellavedu,"Poonamallee, Kumananchavadi, SRMC, Porur, Guindy, Saidapet, DMS, TVS, LIC, Central R.S",High Court
54M,High Court,Mangadu,"Paraniputhur, Baikadai, Moulivakkam, Porur, Guindy, Saidapet, DMS, TVS, LIC, Central R.S",High Court
54T,High Court,Chembarambak kam,"Poonamallee, Kumananchavadi, SRMC, Porur, Guindy, Saidapet, DMS, TVS, LIC, Central R.S",High Court
57F,High Court,Karanodai,"Beach R.S, Stanley, Mint, Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red hills",High Court
A57,High Court,Padiyanallur,"Beach R.S, Stanley, Mint, Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red hills",High Court
88A,High Court,Nandambakkam,"Sirukalathur, Kundrathur,Koovoor,Peri yapannicherry,Baikadai,Porur, Valasara wakkam, Virugambakkam, Vadapalani, Liberty, Gemini, LIC, Central R.S",High Court
88R,High Court,Amarambedu,"Gunidy, Porur, Kundrathur, Somangalam",High Court
88M,High Court,Somangalam,"Gunidy, Porur, Kundrathur",High Court
118A,HighCourt,Oonamancheri,"LIC, TVS, Saidapet, Guindy, Pallavaram, Tambaram, Vandalur Zoo, Kolapakkam, U.Mandaveli",High Court
151,High Court,Vengaivasal P.H. Centre,"Secretariat, Marina Beach, Santhome, Adyar, Anna university, Velachery, Pallikkaranai, Medavakkam, Kamarajapuram, Rajakeelpakkam, Madambakkam",High Court
