No,Start,Destination,Route
41D,Avadi,Mandaveli,"Ambattur OT, Korattur, Lucas, Thirumangalam, Amijikarai, KMC, Chetpet, Sterling road, Gemini, Teynampet, Nandanam, Adyar Gate"
47D,Avadi,Thiruvanmiyur,"Adyar, T. Nagar, Sterling Road, Ambattur I.E"
A47,Avadi,Thiruvanmiyur,"Adyar, T. Nagar, Pushpa Nagar, Ambattur I.E"
M70A,Avadi,CMBT,"Ambattur O.T, Collector Nagar"
120,Avadi,Broadway,"Central R.S, Purasaiwakkam, Sayani, ICF, Padi, Ambattur OT"
A147,Avadi,Thiruvanmiyur,"Adyar, T. Nagar, Pushpa Nagar, Ambattur I.E, Collector Nagar"
150,Avadi,Broadway,"Central, Dasaprakash, KMC, Amijikarai, Arumbakkam, Koyambedu, Nerkundram, Maduravoyal, Vanagaram, Velappan chavadi, Thiruverkadu, Govardhangiri, Avadi Market"
162A,Avadi,Mathur MMDA,Puzhal
572A,Avadi,Thiruvallur,"Pattabiram, Thirunindravur, Veppampattu, Sevapet, Kakallur"
71H,Avadi Kamaraj Nagar,Broadway,"Central R.S, New Avadi road, Nadhamuni, Ambattur IE, Ambattur OT, Avadi"
22,Ayanavaram,Anna Square,"Egmore, Triplicane, Kannagi statue"
23C,Ayanavaram,Besant Nagar/Thiruvanmiyur,"Purasaiwakkam, Egmore, LIC, TVS, Saidapet, Adyar"
35,Ayanavaram,Broadway,"Sayani, Kellys, Purasaiwakkam, Choolai P.O, Central R.S"
70G,Ayanavaram,Tambaram,"Anna Nagar East, Thirumangalam, CMBT, Vadapalani, Ashok Pillar, Chennai Airport, Pallavaram, Chromepet"
114A,Ayanavaram,Red Hills,"Puzhal, Nethaji Circle(byepass), Retteri, Lucas, ICF"
20E,Ayyappakkam,Ambattur I.E,
20J,Ayyappakkam,CMBT,
147Cxt,Ayappakkam,T. Nagar,Ambattur I.E
23M cut,Besant nagar,CMBT,"Adyar, Gandhi mandapam, Little mount, Saidapet, T. Nagar, Panagal park, Liberty, Power house, Vadapalani, MMDA Colony"
47B,Besant Nagar,Villivakkam,"Avvai Home, Adyar B.S, T.Nagar, Anna Nagar East"
5E,Besant Nagar,Vadavalanai,"Nesapakkam, MGR Nagar, KK Nagar, Ashok pillar, Jafferkhanpet, Mettupalayam, Srinivasa theater, CIT nagar, Saidapet, Anna University, Adyar, Vannanthurai, Velankkani church"
6A,Besant Nagar,Tollgate,"Adyar, Foreshore Estate, Triplicane, Parry's Corner, Maharani, Washermanpet"
23C,Besant Nagar/Thiruvanmiyur,Ayanavaram,"Purasaiwakkam, Egmore, LIC, TVS, Saidapet, Adyar"
29C,Besant Nagar/Thiruvanmiyur,Perambur,"Jamaliya, Otteri, KMC, Chetpet, Sterling Road/College Road, Gemini, Mylapore, Mandaveli, Adyar"
1G Cut,Broadway,Madipakkam,"Velachery, Saidapet, TVS, LIC, Central"
A1 xt,Broadway,Kovalam,"Central, LIC, Royapettah, Luz, Mylapore, Mandaveli, AMS, Adyar, Thiruvanmiyur, Kottivakkam, Palavakkam, Neelangarai, Injambakkam, Uthandi, Kanathur, Muttukadu boat yard"
5C,Broadway,Taramani,"Madhya Kailash, Kotturpuram, Alwarpet, Royapettah, Chennai Central"
7B,Broadway,Korattur,"Central R.S, Periamet, Vepery, Doveton, Pattalam, Otteri, Ayanavaram, Joint Office, ICF, Villivakkam, Nathamuni"
7E,Broadway,Ambattur I.E,"Central R.S, Choolai P.O, Doveton, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam, Wavin"
7F,Broadway,Anna Nagar West,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam"
7G,Broadway,Kaviarasu Kannadasan Nagar,"Moolakadai, Perambur market, Pattalam, Doveton, Periamedu, Central R.S"
7H,Broadway,Mogappair EastItems,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam"
7H xt,Broadway,Ambattur I.E,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam"
7M,Broadway,Mogappair West,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam"
