S.No,T.No,VLCY,MSB,MMC,AVD,PTMS,TRL,AJJ,TRT,T.No2,TRT,AJJ,TRL,PTMS,AVD,MMC,MSB,VLCY
97,43121,19.15,19.55,20.20,43248,18.10,18.38,19.30,,,,,,,,,,
98,43433,19.30,20.13,21.15,43768,18.30,18.58,20.00,20.45,,,,,,,,,
99,43771,18.20,19.10,20.00,20.40,43428,18.00,18.35,19.03,19.55,,,,,,,,
100,43657,18.45,19.35,20.25,43126,18.50,19.08,20.00,,,,,,,,,,
101,43435,19.45,20.28,20.57,21.50,43250,18.50,19.25,20.10,,,,,,,,,
102,43773,19.00,19.50,20.35,21.15,66014,18.25,19.00,19.35,20.25,MEMU,,,,,,,
103,43247,20.00,20.40,21.25,43520,18.20,18.40,19.20,19.50,20.40,,,,,,,,
104,43437F,20.10,N/S,Fast,21.00,21.30,43128,19.35,19.55,20.45,,,,,,,,
105,43519,20.20,21.00,21.35,22.20,22.50,43770,19.30,20.00,21.00,21.45,,,,,,,
106,43659,19.30,20.20,21.10,43432,19.00,19.35,20.05,21.00,,,,,,,,,
107,43123,20.30,21.13,21.40,43252,19.40,20.10,21.10,,,,,,,,,,
108,43249,20.40,21.20,22.00,43254,20.00,20.28,21.20,,,,,,,,,,
109,43251,20.55,21.35,22.15,43434,19.25,20.10,20.38,21.30,TO,NEL,,,,,,,
110,43439,21.05,21.45,22.20,23.05,43794,20.25,20.45,22.00,22.45,,,,,,,,
111,66003,21.20,21.15,22.00,MEMU,43256,20.30,20.58,21.50,,,,,,,,,
112,43661,20.10,21.00,21.50,66010,19.55,20.35,21.05,22.00,MEMU,,,,,,,,
113,43125,21.25,22.05,22.35,43702,20.50,21.20,22.20,TO,NEL,,,,,,,,
114,43253,21.40,22.20,23.00,43438,20.25,21.00,21.30,22.25,,,,,,,,,
115,43663,20.50,21.45,22.40,43440,20.50,21.25,21.55,22.40,MMC,NS,1,,,,,,
116,43441,22.00,22.45,23.25,0.05,43836,21.35,22.05,TO,SHED,,,,,,,,
117,66005,22.20,23.10,MEMU,43130,21.50,22.08,23.00,,,,,,,,,,
118,43127,22.35,23.10,23.45,43522,20.45,21.10,21.45,22.15,23.15,MMC,NS,2,,,,,
119,66009,22.45,23.25,MEMU,23.55,0.50,43838,22.10,22.45,TO,SHED,,,,,,,
120,43255,23.15,23.55,0.35,43552,21.15,21.40,AJJ,NS,2,,,,,,,,
121,43799,22.30,23.15,0.05,0.35,43442,21.45,22.20,22.50,23.40,MMC,NS,3,,,,,
122,66007,23.30,0.15,MEMU,43132,22.45,23.05,23.55,,,,,,,,,,
123,43025,23.45,0.30,43524,21.45,22.05,22.40,23.10,0.20,MMC,NS,6,,,,,,
124,43554,23.15,23.35,AJJ,NS,6,,,,,,,,,,,,
-,43892,23.55,0.15,TO,SHED,,,,,,,,,,,,,
