Bus No,Stop Order,Stop Name
27H xt,10,Anna Square
34xt,0,Pattabiram
34xt,1,Ambattur I.E
34xt,2,Thirumangalam
34xt,3,Rountana
34xt,4,Chinthamani
34xt,5,Kellys
34xt,6,Purasaiwakkam
34xt,7,Choolai P.O.
34xt,8,Regal
34xt,9,V.Nagar
34xt,10,Tondiarpet
34xt,11,Tollgate
34xt,12,Therady
34xt,13,Thiruvottiyur
54C,0,Pattabiram
54C,1,Parivakkam
54C,2,Chittukadu
54C,3,Thandarai
54C,4,Poonamallee
65P,0,Pattabiram
65P,1,Ambattur OT
65P,2,Avadi Market
65P,3,Poonamallee
65P,4,Thandurai
65P,5,Ambattur I.E
B70,0,Pattabiram
B70,1,Avadi
B70,2,Ambattur OT
B70,3,Padi
B70,4,CMBT
B70,5,Vadapalani
B70,6,Udhayam
B70,7,CIPET
B70,8,Guindy Estate
566B,0,Pattur
566B,1,Kundrathur
566B,2,Anakaputhur
566B,3,Pammal
566B,4,Pallavaram
566B,5,Chromepet
566B,6,Tambaram Sanatorium
566B,7,Tambaram
566B,8,Perugalathur
566B,9,Vandalur
566B,10,Kandigai
566B,11,Mambakkam
566B,12,Pudhupakkam
566B,13,Chettinad Hospital
566B,14,Kelambakkam
566B,15,Kovalam
17P,0,Pattur
17P,1,Mangadu
17P,2,Porur
17P,3,Virugambakkam
17P,4,Vadapalani
154,0,Pattur
154,1,Mangadu
154,2,Iyyapanthangal
154,3,Porur
154,4,Ramapuram
154,5,St.Thomas Mount
154,6,Guindy
154,7,Saidapet
154,8,T. Nagar
595,0,Pazhaverka du
595,1,Thiruvottriyur
595,2,Sathyamoorthy nagar
595,3,Minjur
595,4,Kadapakkam
595,5,Thathanmanji
595,6,Perliyambakkam
595,7,Pulicut
595,8,Tollgate
595A,0,Pazhaverka du
595A,1,Sathyamoorthy nagar
595A,2,Minjur
595A,3,Kadapakkam
595A,4,Thathanmanji
595A,5,Perliyambakkam
595A,6,Pulicut
595A,7,Thiruvottiyur
558B,0,Pazhaverka du
558B,1,Madhavaram
558B,2,Redhills
558B,3,Karanodai
558B,4,Ponneri
558B,5,Kanchivoyal
558B,6,Thirupalaivanam
558B,7,Perliyambakkam
558B,8,Pulicut
558B,9,Moolakadai
591,0,Perambakk am
591,1,Guindy
591,2,Porur
591,3,Poonamallee
591,4,Thandalam
591,5,Mannur
591,6,Kattukoot rd
591,7,Mappedu
591,8,Koovam
591,9,T.Nagar
591B,0,Perambakk am
591B,1,Virugambakkam
591B,2,Porur
591B,3,Poonamallee
591B,4,Thandalam
591B,5,Mannur
591B,6,Kattukoot rd
591B,7,Mappedu
591B,8,Vadapalani
583B,0,Perambakk am
583B,1,Old Perungalathur
583B,2,Manimangalam
583B,3,Sriperumbudur
583B,4,Kattu Koot road
583B,5,Meppedu
583B,6,Koovam
583B,7,Tambaram
29A,0,Perambur
29A,1,Otteri
29A,2,Devoton
29A,3,Egmore
29A,4,Pudhupet
29A,5,Walaja Road
29A,6,Bells Road
29A,7,Triplicane
29A,8,Anna Square
29B,0,Perambur
29B,1,Otteri
29B,2,Doveton
29B,3,KMC
29B,4,Chetpet
29B,5,Sterling Road/College Road
29B,6,Gemini
29B,7,DMS
29B,8,T.Nagar
29B,9,Saidapet
29C,0,Perambur
29C,1,Jamaliya
29C,2,Otteri
29C,3,KMC
29C,4,Chetpet
29C,5,Sterling Road/College Road
29C,6,Gemini
29C,7,Mylapore
29C,8,Mandaveli
29C,9,Adyar
29C,10,Besant Nagar/Thiruva nmiyur
29E,0,Perambur
29E,1,Otteri
29E,2,Purasawakkam High Road
29E,3,Kellys
29E,4,Aminjikarai
29E,5,Koyambedu
29E,6,Nerkundram
29E,7,Maduravoyal
29E,8,Velappanchavadi
29E,9,Thiruverkadu
129,0,Perambur
129,1,Perungudi
129,2,Tidel Park
129,3,Saidapet
129,4,Gemini
129,5,LIC
129,6,KMC
129,7,SHIVASHANMUGAPURAM
129,8,Okkium Thoraipakkam
129C,0,Perambur
129C,1,T.Nagar
129C,2,Sterling Road
129C,3,Chetpet
129C,4,Otteri
129C,5,Nanganallur
142,0,Perambur
142,1,Vinayagapuram
29N,0,Perambur
29N,1,Saidapet
29N,2,T. Nagar
29N,3,DMS
29N,4,Gemini
29N,5,Sterling Road/College Road
29N,6,KMC
29N,7,Velachery
64P,0,Perambur
64P,1,Napalayam
64P,2,Manali new town
64P,3,MFL
64P,4,CPCL
64P,5,Manali
64P,6,Madhavaram Milk
64P,7,Minjur
164,0,Perambur
164,1,Madhavaram Milk colony
164,2,Thapal petti
164,3,Moolakadai
164,4,Mathur MMDA
170N,0,Perambur
170N,1,Nanganallur
170N,2,Guindy
170N,3,Udhayam
170N,4,Vadapalani
170N,5,CMBT
170N,6,Thirumangalam
170N,7,Retteri
170N,8,Venus
170N,9,Kilkattalai
514,0,Periyapalay am
514,1,Lucas
514,2,Puzhal
514,3,Red Hills
514,4,Karanodai
514,5,Janappan chathram x road
514,6,Bandikavanoor
514,7,Kannigaipair
514,8,CMBT
505A,0,Periyapalay am
505A,1,Vadamadurai
505A,2,Vengal
505A,3,Tamaraipakkam
505A,4,Vishnuvakkam
505A,5,Moolakarai
505A,6,Ekkadu Kandigai
505A,7,Thiruvallur
505P,0,Periyapalay am
505P,1,Alamadhi
505P,2,Tamaraipakkam
505P,3,Vengal
505P,4,Vadamadurai
505P,5,Red Hills
532,0,Periyapalay am
532,1,Basin Bridge
532,2,Vyasarpadi
532,3,Moolakadai
532,4,Puzhal
532,5,Red Hills
532,6,Karanodai
532,7,Arani
532,8,Vallalar Nagar
547,0,Periyapalay am
547,1,Basin Bridge
547,2,Vyasarpadi
547,3,Moolakadai
547,4,Puzhal
547,5,Red Hills
547,6,Karanodai
547,7,Siruvapuri
547,8,V Nagar
547A,0,Periyapalay am
547A,1,Basin Bridge
547A,2,Vyasarpadi
547A,3,Moolakadai
547A,4,Puzhal
547A,5,Red Hills
547A,6,Karanodai
547A,7,Akarambakkam
547A,8,Arani
547A,9,Kosavampettai
547A,10,V Nagar
563,0,Periyapalay am
563,1,Ambattur OT
563,2,Avadi
563,3,Pattabiram
563,4,Ambattur I.E
580P,0,Periyapalay am
580P,1,Thirumazhisai
580P,2,Vellavedu
580P,3,Pudhuchatiram
580P,4,Periyakottambedu
580P,5,Kosavapalayam
580P,6,Thiruninravur
580P,7,Pakkam
580P,8,Tamaraipakkam
580P,9,Vadamadurai
580P,10,Poonamallee
592G,0,Periyapalay am
592G,1,Basin Bridge
592G,2,Vyasarpadi
592G,3,Moolakadai
592G,4,Puzhal
592G,5,Red Hills
592G,6,Karanodai
592G,7,Pandy Kavanoor Rd JN
592G,8,Kannigaipair
592G,9,V Nagar
29L,0,Periyar Nagar
29L,1,Egmore
29L,2,Teynampet
29L,3,Saidapet
29L,4,Adyar
29L,5,Thiruvanmiyur
8A,0,Periyar Nagar
8A,1,Tondiarpet
8A,2,V.Nagar
8A,3,Regal
8A,4,Choolai P.O
8A,5,Otteri
8A,6,Jamalaya
8A,7,Venus
8A,8,Tollgate
B29N,0,Periyar nagar
B29N,1,Saidapet
B29N,2,T. Nagar
B29N,3,DMS
B29N,4,Gemini
B29N,5,Sterling Road/College Road
B29N,6,KMC
B29N,7,Doveton
B29N,8,Perambur
B29N,9,Venus
B29N,10,Velachery
42,0,Periyar Nagar
42,1,Central R.S
42,2,Periamet
42,3,Natarajatheatre
42,4,Pulianthope
42,5,Pattalam
42,6,Kannigapuram
42,7,Perambur B.S
42,8,Venus
42,9,Peravallur
42,10,Broadway
46B,0,Periyar Nagar
46B,1,Perambur
46B,2,Ayanavaram
46B,3,ICF
46B,4,Anna Nagar East
46B,5,Arumbakkam
46B,6,CMBT
138A,0,Periyar Nagar
138A,1,Tondiarpet
138A,2,Mint
138A,3,Basin Bridge
138A,4,Vyasarpadi
138A,5,Moolakadai
138A,6,TVK Nagar
138A,7,Thiruvottiyur
170G,0,Periyar Nagar
170G,1,Tambaram
583P,0,Pondhur
583P,1,Serapanancherri
583P,2,Padappai
583P,3,Mannivakkam
583P,4,Mudichur
583P,5,Tambaram
49A,0,Poonamalle e
49A,1,Kumananchavadi
49A,2,Porur
49A,3,K.K. Nagar
49A,4,Ashok Pillar
49A,5,T.Nagar
49B,0,Poonamalle e
49B,1,Kumananchavadi
49B,2,Mangadu
49B,3,Porur
49B,4,K.K. Nagar
49B,5,Ashok Pillar
49B,6,T.Nagar
54,0,Poonamalle e
54,1,Kumananchavadi
54,2,Porur
54,3,Guindy
54,4,DMS
54,5,TVS
54,6,LIC
54,7,Central R.S
54,8,Broadway
54A,0,Poonamalle e
54A,1,Thirumazhisai
54A,2,Vellavedu
54A,3,Pudhuchatiram
54A,4,Periyakottambedu
54A,5,Kosavapalayam
54A,6,Thirunindravur
54C,0,Poonamalle e
54C,1,Parivakkam
54C,2,Chittukadu
54C,3,Thandarai
54C,4,Pattabiram
54F,0,Poonamalle e
54F,1,Kumananchavadi
54F,2,Iyyapanthangal
54F,3,Porur
54F,4,Guindy
54F,5,Adayar
54F,6,Mandaveli
54P,0,Poonamalle e
54P,1,Kumanan chavadi
54P,2,Mangadu
54P,3,Paraniputhur
54P,4,Baikadai
54P,5,Moulivakkam
54P,6,Porur
54P,7,Guindy
54P,8,Saidapet
54P,9,T.Nagar
F54,0,Poonamalle e
F54,1,Kumananchavadi
F54,2,Iyyapanthangal
F54,3,Porur
F54,4,Guindy
F54,5,Kotturpuram
F54,6,Adyar Gate
F54,7,Mandaveli
62,0,Poonamalle e
62,1,Karayan chavadi
62,2,Seeneerkuppam
62,3,Goverdhangiri
62,4,Avadi Market
62,5,Avadi
62,6,Thirumullaivoyal
62,7,Ambathur OT
62,8,Pudur
62,9,Kallikuppam
62,10,Puzhal
62,11,Bypass road
62,12,Kavangarai
62,13,Ayurveda Ashramam
62,14,Red Hills
62xt,0,Poonamalle e
62xt,1,Karayan chavadi
62xt,2,Seeneerkuppam
62xt,3,Goverdhangiri
62xt,4,Avadi Market
62xt,5,Avadi
62xt,6,Thirumullaivoyal
62xt,7,Ambathur OT
62xt,8,Pudur
62xt,9,Kallikuppam
62xt,10,Puzhal
62xt,11,Bypass road
62xt,12,Kavangarai
62xt,13,Ayurveda Ashramam
62xt,14,Red Hills
62xt,15,Padiyanallur
65V,0,Poonamalle e
65V,1,Nadhamuni
65V,2,Padi
65V,3,Ambattur I.E
65V,4,Ambattur OT
65V,5,Avadi
65V,6,Karaiyanchavadi
65V,7,Villivakkam
PP66,0,Poonamalle e
PP66,1,Tambaram
PP66,2,Chromepet
PP66,3,Pallavaram
PP66,4,Pammal
PP66,5,Anakaputhur
PP66,6,Kundrathur
PP66,7,Mangadu
PP66,8,Karaiyanchavadi
PP66,9,Vandalur Zoo
66,0,Poonamalle e
66,1,MEPZ
66,2,Chromepet
66,3,Pallavaram
66,4,Pammal
66,5,Anakaputhur
66,6,Kundrathur
66,7,Mangadu
66,8,Karaiyanchavadi
66,9,Tambaram
66S,0,Poonamalle e
66S,1,Mettukuppam
66S,2,Kamatchi Hospital
66S,3,Echangadu
66S,4,Pallavaram
66S,5,Pammal
66S,6,Anakaputhur
66S,7,Kundrathur
66S,8,Mangadu
66S,9,Karaiyanchavadi
66S,10,Sholinganallur
154B,0,Poonamalle e
154B,1,Kumanachavadi
154B,2,Porur
154B,3,Guindy
154B,4,St.Thomas Mount
154B,5,Vanuvampet
154B,6,Nanganallur
562B,0,Poonamalle e
562B,1,Janappan chathram x Road
562B,2,Karanodai
562B,3,Red Hills
562B,4,Puzhal
562B,5,Ambattur OT
562B,6,Avadi
562B,7,Karaiyanchavadi
562B,8,Ponneri
578P,0,Poonamalle e
578P,1,Chembarambakkam
578P,2,Irunkattukottai
578P,3,Pennalur EB
578P,4,Sriperumbudur
578P,5,Mambakkam
578P,6,Vadamangalam
578P,7,Thirumangalam
578P,8,S.V.Chatiram
578P,9,Maduramangalam Koot road
578P,10,Pudhupattu
578P,11,Elampakkam
580P,0,Poonamalle e
580P,1,Thirumazhisai
580P,2,Vellavedu
580P,3,Pudhuchatiram
580P,4,Periyakottambedu
580P,5,Kosavapalayam
580P,6,Thiruninravur
580P,7,Pakkam
580P,8,Tamaraipakkam
580P,9,Vadamadurai
580P,10,Periyapalayam
591C,0,Poonamalle e
591C,1,Chembarambakkam
591C,2,Chetipedu
591C,3,Thandalam
591C,4,Mannur
591C,5,Kattukoot rd
591C,6,Mappedu
591C,7,Perambakkam
591C,8,Narasinprm M Koil
25G,0,Poonamalle e
25G,1,Kannaki Statue
25G,2,V.House
25G,3,Royapettah
25G,4,Palmgrove
25G,5,Liberty
25G,6,Vadapalani
25G,7,Porur
25G,8,Iyyapanthangal
25G,9,Kumananchavadi
25G,10,Anna Square
53,0,Poonamalle e
53,1,Kumananchavadi
53,2,Mathruvayoil
53,3,Arumbakkam
53,4,Aminijikarai
53,5,KMC
53,6,Central R.S
53,7,Broadway
M54,0,Poonamalle e
M54,1,Saidepet
M54,2,Guindy
M54,3,Porur
M54,4,Iyyapanthangal
M54,5,Kumananchavadi
M54,6,T.Nagar
55J,0,Poonamalle e
55J,1,Kadapery
55J,2,Thiruneermalai
55J,3,Burma Colony
55J,4,Vazhuthulapedu
55J,5,Kundrathur Murugan koil
55J,6,Kundrathur
55J,7,Mangadu
55J,8,Kumanan chavadi
55J,9,Tambaram
55K,0,Poonamalle e
55K,1,Tambaram Sanatorium
55K,2,Chromepet
55K,3,Pallavaram
55K,4,Pammal Kamarajapuram
55K,5,Thiruneermalai
55K,6,Kundrathur Murugan koil
55K,7,Kundrathur
55K,8,Mangadu
55K,9,Kumanan chavadi
55K,10,Tambaram
65,0,Poonamalle e
65,1,Govardhanagiri
65,2,Mettupalayam
65,3,Kaduveti
65,4,Karaiyanchavadi
65,5,Avadi
65B,0,Poonamalle e
65B,1,Karayan chavadi
65B,2,Seeneerkuppam
65B,3,Goverdhangiri
65B,4,Avadi Market
65B,5,Avadi
65B,6,Thirumullaivoyal
65B,7,Ambathur OT
65B,8,Canara bank
65B,9,Dunlop
65B,10,AMBIT Park
65B,11,Ambattur I.E
65E,0,Poonamalle e
65E,1,Ambattur OT
65E,2,Avadi
65E,3,Kamaraj Nagar
65E,4,Karaiyanchavadi
65E,5,Ambattur I.E
65K,0,Poonamalle e
65K,1,Govardhanagiri
65K,2,Mettupalayam Rd JN
65K,3,Parivakkam Rd JN
65K,4,Kaduveti
65K,5,Karaiyanchavadi
65K,6,Avadi
66K,0,Poonamalle e
66K,1,Inchangadu
66K,2,Pallavaram
66K,3,Pammal
66K,4,Anakaputhur
66K,5,Kundrathur
66K,6,Mangadu
66K,7,Kumananchavadi
66K,8,Karaiyanchavadi
66K,9,Kilkattalai
162,0,Poonamalle e
162,1,Koyambedu Junction
162,2,Mathuravoyal
162,3,Kumananchavadi
162,4,Karaiyanchavadi
162,5,Madhavaram
553K,0,Poonamalle e
553K,1,Chembarambakkam
553K,2,Thandalam Koot road
553K,3,Irrungattukottai
553K,4,Pennalur EB
553K,5,Sriperumbudur
54B,0,Porur
54B,1,Moulivakkam
54B,2,Baikadai
54B,3,Periyapannicherry
54B,4,Kolapakkam
54B,5,Manapakkam
54B,6,Nandambakkam
54B,7,Butt road
54B,8,Kathipara
54B,9,Guindy I.E
54B,10,Little Mount
54B,11,Saidapet
M89,0,Porur
M89,1,Kundrathur
M89,2,Somangalam
52,0,Pozhichalur
52,1,Pallavaram
52,2,Guindy
52,3,Saidapet
52,4,DMS
52,5,TVS
52,6,LIC
52,7,Central RS
52,8,Broadway
52H,0,Pozhichalur
52H,1,Pallavaram
52H,2,Chromepet
52H,3,Tambaram
52H,4,Mudichur
52H,5,Mannivakkam
52H,6,Karasangal
52H,7,Manimangalam
52J,0,Pozhichalur
52J,1,Pallavaram
52J,2,Chromepet
52J,3,T.B.Sanatorium
52J,4,Durga nagar
M52,0,Pozhichalur
M52,1,Pallavaram
M52,2,Chromepet
M52,3,Tambaram
M52,4,Perungalathur
M52,5,Vandalor Zoo
M52,6,Guduvanchery
M1P,0,Pozhichalur
M1P,1,Velachery
M1P,2,Kilkattalai
M1P,3,Pallavaram
M1P,4,Pammal
M1P,5,Thiruvanmiyur
52S,0,Pozhichalur
52S,1,Chromepet
52S,2,Pallavaram
52S,3,Nemilicheri
118P,0,Puzhuthiva kkam
118P,1,Aadambakkam
118P,2,Guindy
118P,3,Pallavaram
118P,4,Tambaram
118P,5,Zoo
118P,6,Guduvanchery
51P,0,Puzhudiva kkam BS
51P,1,Gunidy Race Course
51P,2,High Court
M270,0,Puzhuthiva kkam
M270,1,Aadambakkam
M270,2,Guindy
M270,3,Udhayam
M270,4,CMBT
M270,5,Thirumangalam
M270,6,Ambattur I.E
554A,0,Puzhuthiva kkam
554A,1,Guindy
554A,2,Porur
554A,3,Kumananchavadi
554A,4,Poonamallee
554A,5,Irrungattukottai
554A,6,Sriperumbudur
62A,0,Red Hills
62A,1,Pudur
62A,2,Ambattur I.E
62C,0,Red Hills
62C,1,Iyyapanthangal
62C,2,Kattupakkam
62C,3,Kumanan chavadi
62C,4,Saveetha Engineering College
62C,5,Ayapakkam
62C,6,Ambathur OT
62C,7,Pudur
62C,8,Kallikuppam
62C,9,Puzhal
62C,10,Bypass road
62C,11,Kavangarai
62C,12,Ayurveda Ashramam
62C,13,SRMC(Porur)
114,0,Red Hills
114,1,Tambaram
114,2,Pallavaram
114,3,Guindy
114,4,Ashok nagar
114,5,Vadapalani
114,6,CMBT
114,7,Thirumangalam
114,8,Anna nagar west
114,9,Padi
114,10,Thathankuppam
114,11,Kolathur
114,12,Retteri
114,13,Puzhal
114,14,Kavangarai
114,15,Ayurveda Ashramam
114,16,Vandalur Zoo
114A,0,Red Hills
114A,1,Puzhal
114A,2,Nethaji Circle(byepass)
114A,3,Retteri
114A,4,Lucas
114A,5,ICF
114A,6,Ayanavaram
157E,0,Red Hills
157E,1,Puzhal
157E,2,Moolakadai
157E,3,Sharma Nagar
157E,4,M.K.B Nagar
157E,5,Korukkupettai
157E,6,Tondaripet
157E,7,Tollgate
157E,8,Theradi
157E,9,Thiruvottiyur
157E,10,Ennore
M157,0,Red Hills
M157,1,Puzhal
M157,2,Moolakadai
M157,3,Sharma Nagar
M157,4,M.K.B Nagar
M157,5,Korukkupettai
M157,6,Tondaripet
M157,7,Tollgate
M157,8,Theradi
M157,9,Thiruvottiyur
242,0,Red Hills
242,1,Central R.S
242,2,Vepery
242,3,Doveton
242,4,Perambur
242,5,Kolathur
242,6,Puzhal
242,7,Broadway
242xt,0,Red Hills
242xt,1,Anna Square
505P,0,Red Hills
505P,1,Alamadhi
505P,2,Tamaraipakkam
505P,3,Vengal
505P,4,Vadamadurai
505P,5,Periyapalayam
557C,0,Red Hills
557C,1,Karanodai
557C,2,Thachur Koot Road
557C,3,Puduvayal
557C,4,Kavarapettai
557C,5,Gummidipoondi R.S.
557C,6,Elavur
557C,7,Kuppam
557C,8,Chinna Mangodu
557C,9,Kallur
557M,0,Red Hills
557M,1,Karanodai
557M,2,Thachur Koot Road
557M,3,Puduvayal
557M,4,Kavarapettai
557M,5,Gummidipoondi
557M,6,Equavarpalayam
557M,7,Pathirivedu
557M,8,Madarpakkam
558M,0,Red Hills
558M,1,Minjur N.T.
562A,0,Red Hills
562A,1,Puzhal
562A,2,Pudur
562A,3,Ambattur OT
562A,4,Avadi
562A,5,Karaiyanchavadi
562A,6,Poonammallee
562A,7,Irrunkatturkottai
562A,8,Sriperumbudur
592A,0,Red Hills
592A,1,Karanodai
592A,2,Thatchur Koot road
592A,3,Kannigaipair
592A,4,Periyapalayam
592A,5,Uthukkottai
558A,0,RedHills
558A,1,Karanodai
558A,2,Minjur
57,0,Red Hills
57,1,Basin Bridge
57,2,Vyasarpadi
57,3,Moolakadai
57,4,Puzhal
57,5,V Nagar
58A,0,Red Hills
58A,1,V.Nagar
58A,2,Vyasarpadi
58A,3,Moolakadai
58A,4,Broadway
61R,0,Red Hills
61R,1,HVF Hospital
61R,2,Kovilpadagai
61R,3,Vellanur
61R,4,Veerapuram
61R,5,Kadavoor
61R,6,Avadi
62,0,Red Hills
62,1,Thirumullaivoyal
62,2,Ambathur OT
62,3,Pudur
62,4,Kallikuppam
62,5,Surapedu
62,6,Puzhal
62,7,Bypass road
62,8,Kavangarai
62,9,Ayurveda Ashramam
62,10,Avadi
62,0,Red Hills
62,1,Karayan chavadi
62,2,Seeneerkuppam
62,3,Goverdhangiri
62,4,Avadi Market
62,5,Avadi
62,6,Thirumullaivoyal
62,7,Ambathur OT
62,8,Pudur
62,9,Kallikuppam
62,10,Puzhal
62,11,Bypass road
62,12,Kavangarai
62,13,Ayurveda Ashramam
62,14,Poonamallee
65H,0,Red Hills
65H,1,Pattabiram
65H,2,Thirunindravur
65H,3,Avadi
C70,0,Red Hills
C70,1,Ashok nagar
C70,2,Vadapalani
C70,3,CMBT
C70,4,Thirumangalam
C70,5,Anna nagar west
C70,6,Padi
C70,7,Thathankuppam
C70,8,Kolathur
C70,9,Retteri
C70,10,Puzhal
C70,11,Kavangarai
C70,12,Ayurveda Ashramam
C70,13,Guindy Estate
505,0,Red Hills
505,1,Alamadhi
505,2,Tamaraipakkam
505,3,Vishnuvakkam
505,4,Moolakarai
505,5,Ekkadu Kandigai
505,6,Thiruvallur
M2,0,Saidapet
M2,1,Velachery
M2,2,Medavakkam
M2,3,Ottiambakkam
5R,0,Saidapet
5R,1,Guindy
5R,2,N.G.O. Colony
5R,3,St.Thomas Mount
5R,4,Vanuvampet
5R,5,Velachery MRTS
5R,6,Velachery
M11,0,Saidapet
M11,1,Guindy
M11,2,St.Thomas Mount
M11,3,Kilkattalai
M11,4,Kovilambakkam
M11,5,Medavakkam Koot Road
M11,6,Santhosapuram
M11,7,Camp Road
M11,8,Tambaram East
19B,0,Saidapet
19B,1,IIT Chennai
19B,2,Madhya Kailash
19B,3,Tidel Park
19B,4,Thoraipakkam
19B,5,SIRUSERI
19B,6,Kelambakkam
19B xt,0,Saidapet
19B xt,1,IIT Chennai
19B xt,2,Madhya Kailash
19B xt,3,Tidel Park
19B xt,4,Thoraipakkam
19B xt,5,SIRUSERI
19B xt,6,Kelambakkam
19B xt,7,Thirupporur
51B,0,Saidapet
51B,1,Checkpost
51B,2,Velachery
51B,3,Narayanapuram
51B,4,Pallikaranai
51B,5,Medavakkam
51B,6,Sithalapakkam koot road
51B,7,Sithalapakkam
51B,8,Arasan kazhani
51B,9,Ottiyambakkam
51B,10,Karanai
51E,0,Saidapet
51E,1,Velachery
51E,2,Ram Nagar
51E,3,Madipakkam BS
51S,0,Saidapet
51S,1,St.Thomas Mount
51S,2,Madippakkam
51S,3,Keelkattalai
51S,4,Kovilambakkam
51S,5,Medavakkam Koot Road
51S,6,Kamarajapuram
51S,7,Camp Road
51S,8,Tambaram East
M51D,0,Saidapet
M51D,1,Velachery
M51D,2,Medavakkam
M51D,3,Ottiyambakkam
M51D,4,Karanai
M51D,5,Thalambur
M51D,6,Pudhupakkam
M51D,7,Chettinad Hospital
M51D,8,Kelambakkam
54E,0,Saidapet
54E,1,Guindy
54E,2,Ramapuram
54E,3,Porur
54E,4,Kumanan chavadi
54E,5,Poonamallee
54E,6,Meppur
65A,0,Saidapet
65A,1,Guindy
65A,2,Porur
65A,3,Kumananchavadi
65A,4,Karaiyanchavadi
65A,5,Avadi
65A,6,HVF Hospital
65A,7,Muthapudupet
29B,0,Saidapet
29B,1,Otteri
29B,2,Doveton
29B,3,KMC
29B,4,Chetpet
29B,5,Sterling Road/College Road
29B,6,Gemini
29B,7,DMS
29B,8,T.Nagar
29B,9,Perambur
51H,0,Saidapet
51H,1,Velachery
51H,2,Pallikkaranai
51H,3,Medavakkam
51H,4,Kamarajapuram
51H,5,Camp Road
51H,6,Tambaram East
A51 cut,0,Saidapet
A51 cut,1,Camp Road
A51 cut,2,Kamarajapuram
A51 cut,3,Medavakkam
A51 cut,4,Pallikkaranai
A51 cut,5,Velachery
A51 cut,6,Guindy Race Course
A51 cut,7,Tambaram East
54B,0,Saidapet
54B,1,Moulivakkam
54B,2,Baikadai
54B,3,Periyapannicherry
54B,4,Kolapakkam
54B,5,Manapakkam
54B,6,Nandambakkam
54B,7,Butt road
54B,8,Kathipara
54B,9,Guindy I.E
54B,10,Little Mount
54B,11,Porur
12C,0,Saligramam
12C,1,Vadapalani
12C,2,Rangarajapuram
12C,3,Panagal Park
12C,4,S.I.E.T
12C,5,Adyar Gate
12C,6,Mandaveli
12C,7,Mylapore
17E,0,Saligramam
17E,1,Central
17E,2,Chindatripet
17E,3,Egmore
17E,4,DPI
17E,5,Sterling Road
17E,6,Valluvarkottam
17E,7,Liberty
17E,8,Vadapalani
17E,9,Broadway
M119,0,Semmenche ri
M119,1,Velachery
M119,2,SRP
M119,3,Perungudi
M119,4,Guindy
M119A,0,Semmenche ri
M119A,1,Saidapet
M119A,2,Velachery
M119A,3,SRP
M119A,4,Perungudi
M119A,5,T.Nagar
M119B,0,Semmenche ri
M119B,1,Saidapet
M119B,2,GandhiMandapam
M119B,3,Adyar
M119B,4,Thi ruvanmiyur
M119B,5,Guindy
A19,0,Shozhingan allur
A19,1,Thoraippakkam
A19,2,SRP
A19,3,Tidel Park
A19,4,Madhya Kailash
M51,0,Sholinganal lur
M51,1,Velachery
M51,2,Medavakkam
M51,3,T. Nagar
M51,0,Sholinganal lur
M51,1,Saidapet
M51,2,Velacherry
M51,3,Pallikaranai
M51,4,Medavakkam
M51,5,Perumbakkam
M51,6,T.Nagar
66S,0,Sholinganal lur
66S,1,Mettukuppam
66S,2,Kamatchi Hospital
66S,3,Echangadu
66S,4,Pallavaram
66S,5,Pammal
66S,6,Anakaputhur
66S,7,Kundrathur
66S,8,Mangadu
66S,9,Karaiyanchavadi
66S,10,Poonamallee
553,0,Sriperumbu dur
553,1,Central R.S
553,2,KMC
553,3,Kumananchavadi
553,4,Poonamallee
553,5,Irrungattukottai
553,6,Broadway
553A,0,Sriperumbu dur
553A,1,Mathruvayoil
553A,2,Kumananchavadi
553A,3,Poonamallee
553A,4,Irrungattukottai
553A,5,CMBT
553K,0,Sriperumbu dur
553K,1,Chembarambakkam
553K,2,Thandalam Koot road
553K,3,Irrungattukottai
553K,4,Pennalur EB
553K,5,Poonamallee
554A,0,Sriperumbu dur
554A,1,Guindy
554A,2,Porur
554A,3,Kumananchavadi
554A,4,Poonamallee
554A,5,Irrungattukottai
554A,6,Puzhuthivakka m
578,0,Sriperumbu dur
578,1,Mangadu
578,2,Kumananchavadi
578,3,Poonamallee
578,4,Chembarambakkam
578,5,Irrungattukottai
578,6,Kundrathur
578A,0,Sriperumbu dur
578A,1,Virugambakkam
578A,2,Valasarawakkam
578A,3,Porur
578A,4,Kovoor
578A,5,Kundrathur
578A,6,Somangalam
578A,7,Nallur
578A,8,Sumtheramedu Koot road
578A,9,Pillaipakkam
578A,10,Pattunool Chatiram
578A,11,Vadapalani
583,0,Sriperumbu dur
583,1,Mudichur
583,2,Padappai
583,3,Serapanacherri
583,4,Oragadam
583,5,Vallakottai
583,6,Pondur
583,7,Tambaram
502,0,Sriperumbu dur
502,1,Central R.S
502,2,LIC
502,3,Saidapet
502,4,Guindy
502,5,Porur
502,6,Kumananchavadi
502,7,Poonamallee
502,8,Irrungattukottai
502,9,Broadway
562A,0,Sriperumbu dur
562A,1,Puzhal
562A,2,Pudur
562A,3,Ambattur OT
562A,4,Avadi
562A,5,Karaiyanchavadi
562A,6,Poonammallee
562A,7,Irrunkatturkottai
562A,8,Red Hills
565,0,Sriperumbu dur
565,1,Avadi
565,2,Govardhanagiri
565,3,Karaiyanchavadi
565,4,Poonamallee
565,5,Irrunkatturkottai
565,6,Pattabiram
583C,0,Sriperumbu dur
583C,1,Mudichur
583C,2,Mannivakkam
